1.2369,2.4907,2.504,1.2503,0.0043078,0.0043078,0,0.033834,0.033834,0.051769,0.051769,0.0035884,0.020799,0.01721,0
1.2508,2.4922,2.4959,1.2545,0,0,0,0.012,0.035062,0.056841,0.070351,0.060415,0.048093,0.024249,0
1.2601,2.5245,2.5226,1.2775,0.049334,0.021488,0,0.0036321,0.020967,0.017334,0.036809,0.036809,0.037373,0.037373,0
1.2858,2.5574,2.5384,1.2826,0.046427,0.030715,0,0,0.019515,0.019515,0,0.01638,0.01638,0,0.0070488
1.2617,2.4885,2.5263,1.2647,0,0,0,0.012504,0.012504,0.013991,0.031028,0.017037,0,0.0093035,0.0093035
1.2299,2.4945,2.4961,1.2495,0.028509,0.010478,0.0032331,0.0032331,0.002796,0.002796,0.0051982,0.0051982,0.016213,0.016213,0.035191
1.2403,2.4665,2.498,1.2792,0.016753,0.0093663,0.01463,0.01463,0.027106,0.031023,0.0039175,0,0.038439,0.038439,0.031769
1.223,2.4549,2.483,1.2512,0.030226,0.046685,0.09769,0.081231,0,0.027243,0.027243,0.0060439,0.0060439,0.0086708,0.0086708
1.2189,2.4956,2.5277,1.298,0.047084,0.058611,0.089005,0.030395,0,0,0.080148,0.095689,0.016427,0.0087723,0.0078855
1.2183,2.4441,2.5038,1.278,0,0,0,0.0045082,0.03152,0.027011,0.0021095,0.053425,0.051316,0.014653,0.014653
1.2728,2.4904,2.4761,1.245,0,0.0031906,0.020692,0.017502,0.026037,0.026037,0,0.032187,0.032187,0.017083,0.017083
1.2812,2.5415,2.5357,1.247,0.014172,0.01316,0.01316,0,0,0.034834,0.047651,0.012816,0,0,0
1.2387,2.4664,2.454,1.2125,0,0.030484,0.031627,0.0011432,0,0.0048128,0.027989,0.023176,0.021604,0.037262,0.015658
1.2276,2.4831,2.5101,1.2509,0.0062616,0.006517,0.006517,0.0072483,0.0072483,0,0.0053605,0.0053605,0,0,0
1.2247,2.4893,2.5414,1.3162,0.047586,0.0082106,0,0.038685,0.084358,0.045672,0,0.017847,0.020157,0.0064712,0.048645
